name,st_id,bef0600,af0600,af0605,af0610,af0615,af0620,af0625,af0630,af0635,af0640,af0645,af0650,af0655,af0700,af0705,af0710,af0715,af0720,af0725,af0730,af0735,af0740,af0745,af0750,af0755,af0800,af0805,af0810,af0815,af0820,af0825,af0830,af0835,af0840,af0845,af0850,af0855,af0900,af0905,af0910,af0915,af0920,af0925,af0930,af0935,af0940,af0945,af0950,af0955,af1000,af1005,af1010,af1015,af1020,af1025,af1030,af1035,af1040,af1045,af1050,af1055,af1100,af1105,af1110,af1115,af1120,af1125,af1130,af1135,af1140,af1145,af1150,af1155,af1200
本所吾妻橋,513,0,0,0,0,261,0,0,0,0,0,35,0,0,0,21,21,47,0,150,120,119,42,149,177,195,108,110,78,440,34,0,62,78,0,0,0,0,0,0,0,379,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232
芝公園,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,0,0,34,14,0,0,0,49,49,0,41,41,0,0,370,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
御成門,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
内幸町,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,30,9,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
春日,517,0,56,0,0,0,0,0,0,60,0,0,45,34,67,0,48,168,0,143,93,131,199,1578,0,103,42,83,274,781,576,184,681,381,277,212,138,115,0,89,76,0,37,0,0,116,55,95,0,0,0,151,144,0,0,77,607,530,0,0,33,0,114,38,0,0,0,0,0,0,0,38,0,0,323
白山,518,54,0,82,0,0,0,0,0,0,0,418,418,18,0,0,0,244,257,0,125,15,0,57,78,78,257,315,130,131,112,112,330,114,121,260,0,0,58,0,468,0,33,453,453,0,0,0,0,0,0,145,0,0,0,0,0,348,409,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,51
千石,519,0,0,0,0,0,0,0,0,0,0,139,29,0,0,37,0,0,0,0,354,377,157,0,0,57,39,60,879,307,208,116,1002,359,8,68,0,80,80,0,0,0,0,0,0,0,0,37,0,0,45,45,0,0,56,56,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
西巣鴨,520,0,50,0,0,0,0,0,0,0,49,49,57,0,76,42,147,72,232,0,89,0,72,35,454,100,23,77,169,92,30,441,147,75,47,47,167,0,0,0,0,0,0,0,15,208,193,0,0,0,77,77,0,0,0,0,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新板橋,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,88,80,0,41,40,136,0,121,388,124,432,434,419,336,444,80,125,145,0,104,0,8,0,250,119,0,0,111,0,0,144,144,0,59,0,0,454,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,111
板橋区役所前,522,0,0,0,0,0,0,0,0,0,0,47,47,0,107,62,55,132,0,384,19,75,192,85,104,195,145,0,199,62,141,0,0,254,284,168,0,69,185,0,271,0,0,0,0,0,43,0,0,0,0,0,60,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
板橋本町,523,120,69,69,0,0,0,0,211,41,0,352,466,466,101,127,316,56,25,88,24,281,363,331,274,0,502,269,221,98,63,456,447,469,881,270,330,600,378,294,15,0,0,130,100,0,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,181
本蓮沼,524,0,0,0,0,0,38,62,24,1080,160,218,103,50,262,50,111,0,0,55,55,218,252,65,0,156,39,31,218,60,132,285,285,99,278,276,107,0,0,0,69,69,0,0,0,0,97,97,0,0,0,0,0,105,0,0,0,0,0,0,0,65,65,0,0,0,0,0,0,22,22,0,0,0,0
志村坂上,525,52,25,0,0,0,0,193,0,21,0,0,0,93,0,0,83,0,137,363,244,35,125,222,121,246,222,463,109,51,388,371,126,54,0,0,0,117,57,0,15,15,0,0,0,47,70,96,0,0,0,0,0,0,0,0,77,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
志村三丁目,526,0,0,0,0,0,0,0,50,0,93,46,0,1428,56,313,212,160,29,49,529,616,341,340,181,156,505,636,850,408,289,19,116,569,566,153,358,338,0,309,117,101,55,0,36,0,0,0,0,95,95,15,15,0,0,0,0,0,113,113,0,0,0,48,0,0,0,0,0,99,0,15,15,0,147
蓮根,527,73,0,54,0,0,48,0,55,0,0,0,54,47,69,50,142,100,131,92,55,248,345,15,127,0,0,199,104,61,57,20,71,0,95,0,124,75,22,101,172,0,0,26,26,0,0,0,0,61,0,0,1045,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,24,0,0,0,0,0
西台,528,0,29,29,0,0,0,102,102,312,24,24,743,694,36,36,17,0,0,189,126,186,113,297,308,57,135,98,74,74,95,44,404,339,0,50,389,389,288,134,164,126,71,0,0,0,207,207,0,0,0,77,77,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高島平,529,55,50,0,137,0,0,41,41,138,310,643,662,602,813,267,860,367,383,332,190,337,223,873,1585,1514,254,358,622,153,144,19,387,153,0,0,218,341,52,724,240,71,538,167,48,22,22,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,185
新高島平,530,48,0,52,0,0,0,0,55,0,129,0,19,19,50,50,0,383,346,0,22,0,0,21,15,240,126,177,0,144,105,0,149,0,0,0,0,0,58,0,0,0,50,0,97,10,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西高島平,531,0,0,0,0,0,0,0,39,0,234,131,203,272,159,54,60,120,0,71,54,399,221,1240,1645,405,112,55,164,37,45,100,0,0,0,0,0,234,234,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
