name,passengers
泉岳寺,197333
品川,284888
北品川,9612
新馬場,16867
青物横丁,42941
鮫洲,10821
立会川,19096
大森海岸,14642
平和島,47873
大森町,21415
梅屋敷,15879
京急蒲田,61746
雑色,31106
六郷土手,15823
糀谷,26918
大鳥居,30551
穴守稲荷,18698
天空橋,19836
羽田空港国際線ターミナル,26016
羽田空港国内線ターミナル,90516
