name,st_id,bef0600,af0600,af0615,af0630,af0645,af0700,af0715,af0730,af0745,af0800,af0815,af0830,af0845,af0900,af0915,af0930,af0945,af1000,af1015,af1030,af1045,af1100,af1115,af1130,af1145,af1200
大泉学園,177,58,69,194,285,1251,3313,3810,3428,2704,1994,1929,2435,1385,589,834,353,404,47,75,35,10,119,55,9,0,814
保谷,178,101,280,582,596,888,1819,4349,3715,2592,2116,1155,904,547,369,325,137,333,50,18,0,8,63,0,76,0,332
ひばりケ丘,179,133,139,509,764,1323,1878,3824,4046,4030,2049,1992,1117,674,301,403,266,229,90,153,49,60,0,137,38,14,260
東久留米,180,95,87,317,775,2213,3905,4247,3703,2469,1193,958,1213,587,153,180,98,36,40,19,40,10,0,0,0,49,89
清瀬,181,97,196,551,1214,2064,1977,2399,3254,2430,2775,1940,1898,494,315,497,230,98,220,129,118,0,8,60,111,18,641
秋津,182,34,52,136,268,654,859,2135,2662,5049,2860,2319,1655,578,424,165,167,148,177,176,26,42,42,83,0,0,345
新桜台,183,0,0,0,26,0,51,71,34,54,132,37,202,17,0,0,0,0,0,0,0,0,0,0,0,0,0
小竹向原,184,35,73,25,186,395,713,1900,1582,1870,2037,1965,1639,670,1009,423,298,194,468,266,0,0,186,372,83,49,309
豊島園,185,0,120,107,27,69,460,923,680,229,421,160,189,221,204,24,0,13,0,0,11,0,0,0,0,0,177
西武新宿,186,0,0,0,25,14,80,299,159,219,50,96,20,210,0,18,271,0,0,0,23,0,0,101,101,0,65
下落合,187,0,22,0,0,44,124,151,320,339,386,160,275,44,215,49,0,18,0,339,0,0,0,0,0,0,86
中井,188,0,0,56,132,86,234,108,261,430,338,445,154,137,92,231,216,285,370,110,0,0,0,0,0,0,122
新井薬師前,189,0,23,0,0,65,81,357,80,296,222,198,235,60,0,25,0,216,0,58,175,0,0,0,0,0,0
沼袋,190,23,0,0,44,114,734,383,254,334,278,688,923,319,86,115,21,104,84,48,0,0,0,0,91,25,22
野方,191,38,0,67,464,285,160,183,348,402,423,298,397,39,30,30,23,337,493,0,0,29,0,0,0,0,15
都立家政,192,0,0,26,77,67,384,1231,401,566,369,435,299,63,0,0,32,261,0,0,0,0,23,0,156,0,42
鷺ノ宮,193,70,0,112,19,360,594,1174,2228,2029,988,919,484,790,1368,144,105,179,485,0,486,0,53,0,37,0,714
下井草,194,0,0,67,350,102,212,692,253,923,120,535,384,165,18,49,230,0,154,0,0,19,0,31,0,0,312
井荻,195,0,0,50,99,183,128,571,587,476,599,664,37,71,161,298,110,0,0,0,0,22,19,0,0,0,0
上井草,196,29,40,178,106,73,108,503,339,487,546,257,268,0,76,35,0,0,0,56,0,0,0,0,0,0,0
上石神井,197,0,286,151,1393,819,1173,893,2375,1627,2115,1082,896,497,372,92,276,106,712,175,125,0,0,0,0,101,525
武蔵関,198,200,28,118,133,380,342,571,1048,1093,822,527,351,114,85,45,338,24,0,0,0,0,0,0,0,0,159
東伏見,199,0,50,43,189,179,380,1019,402,453,422,386,176,109,36,0,173,0,0,0,0,0,0,26,0,0,362
西武柳沢,200,0,0,358,296,130,152,871,608,645,206,473,22,41,0,59,28,0,17,23,34,0,0,0,36,0,275
田無,201,320,572,203,1433,2480,3465,3873,2703,2123,3260,2189,1101,712,515,399,235,579,393,339,0,15,0,0,33,0,1021
花小金井,202,92,88,1255,688,1598,1506,3492,3537,3359,1871,1242,1191,785,347,68,450,193,448,34,30,27,0,20,0,200,593
小平,203,193,212,684,1941,3056,3369,7551,4788,10731,4175,3452,1329,626,277,415,322,789,524,24,374,147,935,0,195,157,876
久米川,204,129,128,98,283,830,631,775,1245,1200,617,322,119,71,27,0,0,88,60,36,0,0,0,34,34,22,95
東村山,205,182,395,189,610,1285,3305,3681,3996,4761,5416,1112,1815,1222,252,370,300,937,249,302,547,95,81,26,144,161,703
西武園,206,0,0,32,44,226,139,54,52,32,230,0,62,86,0,0,0,0,0,0,0,0,0,0,0,0,0
萩山,207,0,50,181,244,1016,898,1634,1768,2462,1484,701,315,142,156,125,0,256,234,251,17,0,0,0,0,0,683
小川,208,133,266,524,417,1572,1631,1124,2434,2049,1708,1124,193,208,119,134,472,0,296,0,105,0,0,0,0,0,46
東大和市,209,0,262,87,394,384,716,743,643,413,460,26,18,116,136,104,0,0,0,0,0,0,0,195,0,0,19
玉川上水,210,266,292,444,897,3055,1945,2103,4005,772,1852,1004,704,106,191,383,285,107,320,0,0,0,0,0,0,0,177
武蔵砂川,211,0,123,157,218,17,1130,48,1060,331,305,44,0,44,17,44,0,0,0,0,22,205,0,0,0,0,22
西武立川,212,0,111,50,163,113,80,690,41,623,43,32,28,28,0,0,0,0,0,0,0,280,0,0,0,0,0
一橋学園,213,26,0,140,399,192,789,717,653,584,725,290,239,235,250,0,0,0,0,0,0,234,177,271,0,0,33
青梅街道,214,0,51,47,0,84,217,0,90,41,126,107,40,72,0,0,0,0,0,0,0,0,0,0,0,0,0
八坂,215,0,0,32,0,85,292,225,235,27,278,204,19,45,0,0,0,0,0,0,0,0,0,0,0,0,0
武蔵大和,216,0,0,171,291,271,920,460,363,81,103,0,0,0,85,0,29,0,0,0,0,0,0,0,0,52,46
西武遊園地,217,0,0,0,333,120,183,166,185,0,55,58,83,0,0,0,214,18,0,0,0,0,0,0,0,0,0
恋ケ窪,218,0,0,0,135,166,313,631,436,184,345,162,41,0,57,57,28,0,0,0,21,0,0,0,0,0,29
鷹の台,219,64,80,102,454,605,380,659,549,912,402,180,219,64,35,43,0,0,70,0,0,171,0,0,0,72,169
新小金井,220,0,0,50,120,0,79,87,184,40,0,50,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
多磨,221,169,0,41,325,0,655,584,321,239,161,241,0,35,50,0,0,0,0,0,0,34,0,0,0,0,0
白糸台,222,0,0,0,0,0,90,1323,50,25,0,0,0,16,69,0,0,0,0,0,0,0,0,0,0,0,0
競艇場前,223,0,0,0,0,32,135,0,38,100,123,64,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0
是政,224,0,0,39,139,100,50,118,334,686,100,47,50,50,52,41,0,0,0,0,0,0,0,0,0,0,0
京成上野,225,0,0,0,0,32,151,80,108,80,0,90,65,6,0,0,0,0,0,108,0,0,0,0,0,0,75
新三河島,226,0,0,0,50,50,0,57,35,66,78,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
町屋,227,176,0,129,267,443,548,1639,1935,1446,1779,1101,839,613,492,163,416,0,0,50,0,0,0,128,26,0,93
千住大橋,228,0,0,49,84,0,0,289,376,299,441,67,172,56,73,232,102,0,0,33,0,0,0,0,0,0,0
京成関屋,229,34,109,0,51,214,155,187,370,647,425,835,361,0,0,0,0,0,0,0,29,29,0,0,0,0,367
堀切菖蒲園,230,192,47,32,117,1487,272,916,1010,888,714,375,437,507,608,395,0,0,0,255,0,0,0,0,0,0,220
お花茶屋,231,0,0,193,315,166,246,1302,628,1342,599,268,142,228,96,113,0,32,0,0,0,73,0,0,0,0,398
青砥,232,477,870,1170,2396,3251,7147,8949,11917,12005,11968,8143,4647,4324,1605,1595,1607,846,679,207,197,207,166,0,164,564,3123
京成高砂,233,483,306,655,1113,2781,5022,7920,7087,8550,6390,4252,3249,1554,1128,1096,1073,209,0,65,70,10,0,58,358,1143,858
京成小岩,234,37,0,171,203,240,530,431,1061,473,309,364,0,30,0,77,56,115,0,0,27,0,0,0,0,0,0
江戸川,235,0,0,12,545,201,469,55,0,74,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京成曳舟,236,0,0,31,111,157,435,168,447,695,386,604,128,185,195,48,0,0,0,0,0,0,21,46,0,0,114
八広,237,117,0,0,24,226,101,0,83,369,226,0,48,0,14,0,88,108,0,0,41,0,0,0,0,0,858
