name,passengers
多摩センター,37104
松が谷,2610
大塚・帝京大学,7330
中央大学・明星大学,34769
多摩動物公園,2438
程久保,1655
高幡不動,27452
万願寺,8081
甲州街道,8935
柴崎体育館,4316
立川南,32060
立川北,44519
高松,8054
立飛,13025
泉体育館,6524
砂川七番,4789
玉川上水,24569
桜街道,7008
上北台,13040
