,,,,,name,line,lat,lon,,,,
56,55,1763,3,1010507,戸塚,JR東海道本線,127430685,502334749,-66812.25951,-26878.54768,1
57,56,1764,3,1010507,大船,JR東海道本線,127262552,502324250,-71992.6145,-27159.10389,1
58,57,1765,3,1010507,藤沢,JR東海道本線,127207873,502162747,-73664.35756,-31242.3786,1
59,58,1766,3,1010507,辻堂,JR東海道本線,127201037,502018814,-73861.6709,-34877.72233,1
60,59,1767,3,1010507,茅ケ崎,JR東海道本線,127177823,501876664,-74562.40996,-38470.37155,1
61,60,1768,3,1010507,平塚,JR東海道本線,127166647,501667424,-74882.69034,-43756.23637,1
62,61,1769,3,1010507,大磯,JR東海道本線,127108718,501539007,-76651.48178,-47008.74922,1
63,62,1770,3,1010507,二宮,JR東海道本線,127062697,501335414,-78041.36978,-52159.77363,1
64,63,1771,3,1010507,国府津,JR東海道本線,127001299,501185962,-79910.77044,-55947.31349,1
65,64,1772,3,1010507,鴨宮,JR東海道本線,126980748,501059948,-80523.76276,-59135.80008,1
66,65,1773,3,1010507,小田原,JR東海道本線,126910861,500971870,-82662.52929,-61376.30338,1
159,66,1844,4,1010223,上野,JR東北本線,128557578,503208844,-32124.18455,-4804.551888,1
160,67,4707,4,1010223,上野井堀（信）,JR東北本線,128557578,503208844,-32124.18455,-4804.551888,0
161,68,1861,4,1010223,尾久,JR東北本線,128677475,503124331,-28427.85951,-6925.834789,1
162,69,1851,4,1010223,赤羽,JR東北本線,128788995,503007346,-24988.29453,-9861.112593,1
163,70,1852,4,1010223,川口,JR東北本線,128875011,502994779,-22337.11514,-10173.67505,0
164,71,1856,4,1010223,浦和,JR東北本線,129079689,502778232,-16021.42801,-15599.28359,1
165,72,2054,4,1010223,さいたま新都心,JR東北本線,129205938,502693386,-12126.63773,-17720.14211,1
166,73,1859,4,1010223,大宮,JR東北本線,129251116,502658830,-10732.54139,-18583.7894,1
167,74,1385,4,1010223,土呂,JR東北本線,129345618,502688733,-7821.680587,-17828.1218,1
168,75,1354,4,1010223,東大宮,JR東北本線,129403671,502716672,-6033.957971,-17124.34289,1
169,76,1355,4,1010223,蓮田,JR東北本線,129521137,502762472,-2415.964427,-15970.01325,1
170,77,1356,4,1010223,白岡,JR東北本線,129650532,502812370,1569.663896,-14713.39503,1
171,78,1386,4,1010223,新白岡,JR東北本線,129727911,502831394,3953.624349,-14233.19513,1
172,79,1357,4,1010223,久喜,JR東北本線,129825003,502850716,6945.146102,-13744.84229,1
279,80,1859,5,1010551,大宮,JR京浜東北線,129251116,502658830,-10732.54139,-18583.7894,1
280,81,2054,5,1010551,さいたま新都心,JR京浜東北線,129205936,502693470,-12126.7036,-17718.03572,1
281,82,1858,5,1010551,与野,JR京浜東北線,129171345,502712855,-13193.70319,-17233.98871,1
282,83,1857,5,1010551,北浦和,JR京浜東北線,129128605,502737239,-14512.04895,-16624.9036,1
283,84,1856,5,1010551,浦和,JR京浜東北線,129079662,502778232,-16022.2601,-15599.28506,1
284,85,1855,5,1010551,南浦和,JR京浜東北線,129042303,502818749,-17175.33101,-14584.66978,1
285,86,1854,5,1010551,蕨,JR京浜東北線,128969468,502896671,-19422.97337,-12632.66714,1
286,87,1853,5,1010551,西川口,JR京浜東北線,128925613,502946668,-20776.19799,-11379.56859,1
287,88,1852,5,1010551,川口,JR京浜東北線,128875011,502994779,-22337.11514,-10173.67505,1
288,89,1851,5,1010551,赤羽,JR京浜東北線,128788995,503007346,-24988.29453,-9861.112593,1
289,90,1850,5,1010551,東十条,JR京浜東北線,128738357,503028498,-26549.41566,-9331.543924,1
290,91,1849,5,1010551,王子,JR京浜東北線,128696838,503069528,-27829.95708,-8302.132638,1
291,92,1848,5,1010551,上中里,JR京浜東北線,128678092,503097262,-28408.28806,-7605.893008,1
292,93,1847,5,1010551,田端,JR京浜東北線,128643051,503153869,-29489.27041,-6184.469203,1
293,94,1860,5,1010551,西日暮里,JR京浜東北線,128623791,503172034,-30083.12158,-5728.425033,1
294,95,1846,5,1010551,日暮里,JR京浜東北線,128610093,503185430,-30505.47007,-5392.061121,1
295,96,1845,5,1010551,鶯谷,JR京浜東北線,128586299,503212292,-31239.1245,-4717.418988,1
296,97,1844,5,1010551,上野,JR京浜東北線,128557552,503208913,-32124.98674,-4802.818062,1
297,98,1843,5,1010551,御徒町,JR京浜東北線,128534154,503200523,-32845.93484,-5014.10098,1
298,99,1842,5,1010551,秋葉原,JR京浜東北線,128502208,503194947,-33830.34483,-5154.831757,1
299,100,1786,5,1010551,神田,JR京浜東北線,128478481,503186752,-34561.42463,-5361.287104,1
300,101,1748,5,1010551,東京,JR京浜東北線,128439480,503173290,-35763.11722,-5700.507059,1
301,102,1749,5,1010551,有楽町,JR京浜東北線,128417533,503157862,-36439.2051,-6088.899319,1
302,103,1750,5,1010551,新橋,JR京浜東北線,128387346,503141276,-37369.18745,-6506.657979,1
303,104,1751,5,1010551,浜松町,JR京浜東北線,128348149,503137456,-38577.055,-6603.623582,1
304,105,1752,5,1010551,田町,JR京浜東北線,128313079,503103110,-39657.12649,-7468.416244,1
305,106,1753,5,1010551,品川,JR京浜東北線,128252642,503071911,-41518.92037,-8254.968857,1
306,107,1754,5,1010551,大井町,JR京浜東北線,128173486,503057439,-43957.91787,-8621.45465,1
307,108,1755,5,1010551,大森,JR京浜東北線,128109136,503033297,-45940.37058,-9231.104247,1
308,109,1756,5,1010551,蒲田,JR京浜東北線,128013742,502989170,-48878.87931,-10345.33065,1
309,110,1757,5,1010551,川崎,JR京浜東北線,127901001,502920003,-52350.98033,-12091.76294,1
310,111,1758,5,1010551,鶴見,JR京浜東北線,127818885,502845804,-54878.77824,-13964.88568,1
311,112,1759,5,1010551,新子安,JR京浜東北線,127740997,502766540,-57275.65976,-15966.49831,1
312,113,1760,5,1010551,東神奈川,JR京浜東北線,127708391,502691320,-58276.87382,-17864.44096,1
313,114,1761,5,1010551,横浜,JR京浜東北線,127664227,502651321,-59635.7733,-18875.60558,1
314,115,2028,5,1010551,桜木町,JR京浜東北線,127612048,502682914,-61245.36995,-18082.32819,1
315,116,2029,5,1010551,関内,JR京浜東北線,127586817,502701319,-62023.81394,-17619.74705,1
316,117,2030,5,1010551,石川町,JR京浜東北線,127568096,502726123,-62601.92773,-16995.31733,1
317,118,2031,5,1010551,山手,JR京浜東北線,127524894,502738849,-63933.84224,-16676.8384,1
318,119,2032,5,1010551,根岸,JR京浜東北線,127484850,502698660,-65165.89493,-17692.99654,1
319,120,2033,5,1010551,磯子,JR京浜東北線,127430330,502638087,-66842.83584,-19224.69453,1
320,121,2034,5,1010551,新杉田,JR京浜東北線,127380469,502641746,-68379.53972,-19135.64124,1
321,122,2035,5,1010551,洋光台,JR京浜東北線,127351687,502559604,-69261.82739,-21210.70987,1
322,123,2036,5,1010551,港南台,JR京浜東北線,127338652,502485029,-69658.874,-23093.93978,1
323,124,2037,5,1010551,本郷台,JR京浜東北線,127312665,502392065,-70453.35132,-25442.62947,1
324,125,1764,5,1010551,大船,JR京浜東北線,127262552,502324250,-71992.6145,-27159.10389,1
325,126,1757,6,1010508,川崎,JR南武線,127901001,502920003,-52350.98033,-12091.76294,1
326,127,1894,6,1010508,尻手,JR南武線,127899860,502875119,-52384.54142,-13222.50337,1
327,128,1895,6,1010508,矢向,JR南武線,127930252,502860915,-51447.43027,-13578.90016,1
328,129,1896,6,1010508,鹿島田,JR南武線,127974828,502841275,-50072.98659,-14071.4454,1
329,130,1897,6,1010508,平間,JR南武線,128006287,502827645,-49102.9798,-14413.15199,1
330,131,1898,6,1010508,向河原,JR南武線,128048366,502814091,-47805.6883,-14752.32937,1
331,132,1899,6,1010508,武蔵小杉,JR南武線,128064179,502787431,-47317.24938,-15422.74784,1
332,133,1900,6,1010508,武蔵中原,JR南武線,128079969,502721134,-46827.61325,-17090.98818,1
333,134,1901,6,1010508,武蔵新城,JR南武線,128102461,502677926,-46132.33315,-18177.3733,1
334,135,1902,6,1010508,武蔵溝ノ口,JR南武線,128144772,502611897,-44824.90146,-19836.67971,1
335,136,1903,6,1010508,津田山,JR南武線,128162126,502573437,-44287.8999,-20803.47828,1
336,137,1904,6,1010508,久地,JR南武線,128184752,502546946,-43589.05614,-21468.54349,1
337,138,1905,6,1010508,宿河原,JR南武線,128203705,502498435,-43001.95912,-22687.92065,1
338,139,1906,6,1010508,登戸,JR南武線,128223083,502464263,-42402.55737,-23546.28471,1
339,140,1907,6,1010508,中野島,JR南武線,128256564,502394512,-41365.96206,-25298.52892,1
340,141,1908,6,1010508,稲田堤,JR南武線,128268467,502341354,-40995.24801,-26634.91503,1
341,142,1909,6,1010508,矢野口,JR南武線,128298331,502285270,-40070.59456,-28043.06227,1
342,143,1910,6,1010508,稲城長沼,JR南武線,128307568,502221237,-39780.71802,-29652.98656,1
343,144,1911,6,1010508,南多摩,JR南武線,128325639,502175081,-39219.878,-30812.16495,1
344,145,1912,6,1010508,府中本町,JR南武線,128386034,502129408,-37354.61833,-31954.3658,1
345,146,1913,6,1010508,分倍河原,JR南武線,128394683,502098961,-37085.29624,-32719.10636,1
346,147,8257,6,1010508,西府,JR南武線,128403686,502058309,-36804.02897,-33740.3932,0
347,148,1914,6,1010508,谷保,JR南武線,128440524,502022022,-35665.26957,-34648.50795,1
348,149,1915,6,1010508,矢川,JR南武線,128454802,501964214,-35219.47547,-36100.27965,1
349,150,1916,6,1010508,西国立,JR南武線,128486613,501937646,-34236.40261,-36764.23373,1
350,151,1808,6,1010508,立川,JR南武線,128500794,501899976,-33795.41131,-37709.4254,1
351,152,2016,7,1010251,大崎,JR埼京線,128217018,503034270,-42615.81486,-9203.179072,1
352,153,2013,7,1010251,恵比寿,JR埼京線,128315914,502968429,-39566.27393,-10856.2789,1
353,154,2012,7,1010251,渋谷,JR埼京線,128357570,502937295,-38281.56809,-11637.78469,1
354,155,2011,7,1010251,原宿,JR埼京線,128402729,502940709,-36890.00847,-11550.11039,0
355,156,2010,7,1010251,新宿,JR埼京線,128471304,502933777,-34776.48904,-11721.64846,1
356,157,2006,7,1010251,池袋,JR埼京線,128618892,502972387,-30229.44087,-10745.42292,1
357,158,2038,7,1010251,板橋,JR埼京線,128670680,503001035,-28634.30558,-10023.72842,1
358,159,2039,7,1010251,十条,JR埼京線,128725440,503011935,-26947.03945,-9748.018153,1
359,160,1851,7,1010251,赤羽,JR埼京線,128788995,503007346,-24988.29453,-9861.112593,1
360,161,1862,7,1010251,北赤羽,JR埼京線,128821060,502952968,-23998.49835,-11225.5102,1
361,162,1863,7,1010251,浮間舟渡,JR埼京線,128836662,502900912,-23515.92619,-12532.01931,1
362,163,1864,7,1010251,戸田公園,JR埼京線,128896594,502853462,-21667.18481,-13720.61953,1
363,164,1865,7,1010251,戸田,JR埼京線,128932541,502822001,-20558.11342,-14508.61976,1
364,165,1866,7,1010251,北戸田,JR埼京線,128967631,502788642,-19475.29791,-15344.10437,1
365,166,1867,7,1010251,武蔵浦和,JR埼京線,129032257,502740660,-17481.47912,-16544.64969,1
366,167,1868,7,1010251,中浦和,JR埼京線,129062506,502706619,-16547.62145,-17396.9976,1
367,168,1869,7,1010251,南与野,JR埼京線,129111648,502683730,-15032.00471,-17968.20494,1
368,169,1870,7,1010251,与野本町,JR埼京線,129160458,502665420,-13526.81896,-18424.38743,1
369,170,1871,7,1010251,北与野,JR埼京線,129195299,502675180,-12453.58544,-18177.37985,1
370,171,1859,7,1010251,大宮,JR埼京線,129251116,502658830,-10732.54139,-18583.7894,1
371,172,2020,7,1010251,日進,JR埼京線,129342029,502593601,-7927.140847,-20212.89139,1
372,173,8258,7,1010251,西大宮,JR埼京線,129308768,502499278,-8946.456164,-22579.78666,0
373,174,2021,7,1010251,指扇,JR埼京線,129289758,502445479,-9528.758374,-23930.04245,1
374,175,2022,7,1010251,南古谷,JR埼京線,129240601,502282063,-11031.63192,-28031.74317,1
375,176,2023,7,1010251,川越,JR埼京線,129253517,502151232,-10622.54365,-31310.8676,1
376,177,2024,7,1010251,西川越,JR埼京線,129297577,502066564,-9256.883365,-33428.64322,1
377,178,2025,7,1010251,的場,JR埼京線,129291819,501979131,-9425.752423,-35621.277,1
378,179,2026,7,1010251,笠幡,JR埼京線,129255801,501874513,-10524.79079,-38248.88651,1
379,180,2027,7,1010251,武蔵高萩,JR埼京線,129234723,501748030,-11160.06154,-41423.29525,1
