name,st_id,bef0600,af0600,af0615,af0630,af0645,af0700,af0715,af0730,af0745,af0800,af0815,af0830,af0845,af0900,af0915,af0930,af0945,af1000,af1015,af1030,af1045,af1100,af1115,af1130,af1145,af1200
玉川上水,210,310,460,658,1194,3844,3778,3442,7659,1404,2974,1779,1320,130,358,766,570,93,640,0,0,0,0,0,0,0,354
武蔵砂川,211,0,123,191,436,34,2260,96,2120,662,359,88,0,88,34,88,0,0,0,0,44,410,0,0,0,0,44
西武立川,212,0,222,50,142,134,160,1380,38,1246,86,64,28,28,0,0,0,0,0,0,0,560,0,0,0,0,0
一橋学園,213,52,0,134,798,384,1578,1434,1306,1168,1450,533,389,470,500,0,0,0,0,0,0,468,0,542,0,0,66
青梅街道,214,0,102,94,0,168,434,0,180,82,252,214,80,144,0,0,0,0,0,0,0,0,0,0,0,0,0
八坂,215,0,0,64,0,170,584,450,470,54,556,408,38,90,0,0,0,0,0,0,0,0,0,0,0,0,0
武蔵大和,216,0,0,342,582,542,1797,920,726,162,206,0,0,0,170,0,58,0,0,0,0,0,0,0,0,104,92
西武遊園地,217,0,0,0,636,210,366,332,370,0,110,116,166,0,0,0,428,18,0,0,0,0,0,0,0,0,0
恋ケ窪,218,0,0,0,130,270,341,1043,872,368,690,324,82,0,57,57,56,0,0,0,42,0,0,0,0,0,58
鷹の台,219,90,80,102,786,1128,685,1254,1057,1648,780,335,370,85,70,86,0,0,140,0,0,342,0,0,0,144,338
新小金井,220,0,0,100,205,0,158,174,368,80,0,100,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0
多磨,221,338,0,82,650,0,608,1168,642,478,0,441,0,70,100,0,0,0,0,0,0,68,0,0,0,0,0
白糸台,222,0,0,0,0,0,180,2646,100,50,0,0,0,32,138,0,0,0,0,0,0,0,0,0,0,0,0
競艇場前,223,0,0,0,0,64,270,0,76,200,246,128,0,0,680,0,0,0,0,0,0,0,0,0,0,0,0
是政,224,0,0,39,139,100,100,236,536,1240,200,94,100,100,104,82,0,0,0,0,0,0,0,0,0,0,0
京成上野,225,0,0,0,0,64,222,80,136,80,0,180,130,12,0,0,0,0,0,216,0,0,0,0,0,0,150
新三河島,226,0,0,0,50,50,0,95,35,132,156,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
町屋,227,352,0,258,651,598,861,2819,3343,2317,2977,1869,1657,988,806,163,669,0,0,100,0,0,0,256,52,0,186
千住大橋,228,0,0,65,135,0,0,251,717,394,678,134,344,112,116,332,102,0,0,66,0,0,0,0,0,0,0
京成関屋,229,68,164,0,102,428,418,239,696,1277,850,1571,656,0,0,0,0,0,0,0,29,29,0,0,0,0,734
堀切菖蒲園,230,384,94,64,234,2974,535,1802,2020,1646,1235,634,821,983,1143,790,0,0,0,510,0,0,0,0,0,0,440
お花茶屋,231,0,0,337,581,332,492,2604,1116,2456,1110,536,284,412,126,204,0,64,0,0,0,114,0,0,0,0,796
青砥,232,918,1612,1510,3530,6464,9089,13794,19201,15663,18511,10187,6555,5327,2872,2193,2737,518,1271,327,332,84,312,0,250,1266,5411
京成高砂,233,951,597,1248,1954,4949,7527,13368,12274,13411,8874,7460,5387,1739,2054,1672,1068,92,0,44,140,20,0,58,658,1820,1716
京成小岩,234,74,0,342,325,399,1060,862,2099,916,459,655,0,60,0,154,112,194,0,0,54,0,0,0,0,0,0
江戸川,235,0,0,12,889,201,938,110,0,148,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京成曳舟,236,0,0,62,190,195,783,336,815,1311,772,1208,256,351,323,48,0,0,0,0,0,21,21,92,0,0,228
八広,237,234,0,0,24,452,101,0,166,738,452,0,96,0,28,0,176,216,0,0,82,0,0,0,0,0,1716
四ツ木,238,764,104,17,807,1250,1435,3516,2004,1715,895,607,514,850,338,0,70,632,0,0,0,0,96,32,0,0,156
京成立石,239,144,125,137,479,595,863,1326,1068,1743,1897,1553,508,329,140,477,131,100,38,200,36,72,38,116,0,0,1198
柴又,240,0,326,0,0,324,1480,604,2146,411,187,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,260
京成金町,241,0,0,94,222,1064,922,2097,799,1136,1210,848,351,181,0,158,48,0,0,0,0,0,0,0,1186,0,0
笹塚,242,155,207,192,386,1768,3818,4404,7097,10543,9248,9380,6222,6306,4688,3612,2273,1975,930,700,424,236,716,302,126,164,4281
代田橋,243,108,0,0,66,110,340,628,633,1118,1686,855,389,1214,106,76,202,290,0,0,62,0,100,0,0,0,0
明大前,244,507,116,456,1545,4280,6041,12166,17628,18800,16890,16681,12639,8013,5056,4148,4450,4345,4428,3431,1246,1405,687,945,2088,2096,7178
下高井戸,245,0,0,99,189,442,801,4097,3149,4283,2124,1606,1764,1307,1007,1050,788,614,224,178,322,34,104,474,17,73,980
桜上水,246,222,28,0,793,1003,1648,2098,2978,3752,2928,1363,1343,709,828,632,721,530,303,502,0,0,0,0,0,156,752
上北沢,247,114,0,0,414,486,736,475,564,638,1665,558,609,603,140,46,0,0,0,24,24,0,0,0,0,21,49
八幡山,248,36,0,0,346,446,557,879,935,1434,3257,1065,967,203,653,278,1112,0,0,44,60,0,58,0,34,0,120
芦花公園,249,16,0,25,163,490,880,546,822,908,1467,497,402,266,292,178,54,74,108,22,92,0,0,24,24,0,120
千歳烏山,250,146,218,457,843,1882,3480,4584,4427,5205,6330,3636,3106,1449,1185,1027,100,312,808,22,130,95,109,28,156,450,888
仙川,251,0,0,188,266,725,2586,4487,2117,4121,1968,1284,1679,481,1116,366,324,550,111,140,35,0,72,0,0,806,1396
つつじケ丘,252,350,150,442,740,2074,5825,6844,7901,5941,4292,4474,5073,1036,1578,974,882,452,558,114,0,0,171,15,200,581,1607
柴崎,253,28,22,69,723,689,2137,931,1571,839,507,1395,886,734,197,537,164,14,0,0,0,42,0,232,0,88,668
国領,254,254,72,470,586,2084,2375,1986,3323,2670,1399,1124,1292,442,236,730,0,0,106,0,40,0,176,200,0,92,122
布田,255,0,0,148,110,788,410,971,505,728,1710,305,0,66,0,424,0,0,0,0,0,0,0,0,0,0,266
調布,256,526,264,1610,4796,7316,15453,17643,21597,22451,17979,17226,8257,7183,5108,4171,2295,2444,3968,2551,1297,1244,522,890,301,1595,6772
西調布,257,166,78,296,524,483,1085,993,1136,558,2038,253,1482,261,192,30,188,142,320,0,0,0,26,0,0,0,42
飛田給,258,0,74,0,278,764,292,1060,935,490,660,368,392,243,19,199,67,28,28,0,0,228,0,76,0,0,164
武蔵野台,259,40,112,114,702,268,730,2461,2229,964,780,1584,866,736,195,127,26,0,403,0,108,0,0,0,0,0,0
多磨霊園,260,0,74,185,185,590,326,656,867,2241,162,268,74,118,171,171,150,0,0,0,0,314,0,0,0,0,0
東府中,261,234,0,263,863,596,1533,1049,1944,1136,1655,1050,171,432,546,18,0,0,130,0,0,0,0,0,0,0,0
府中,262,112,52,690,1288,1978,1887,2595,3655,2914,7269,1832,926,584,968,399,269,372,180,480,104,0,332,0,54,46,918
中河原,263,0,34,160,940,2031,824,1405,2540,1520,988,988,241,639,171,170,86,176,0,0,0,90,0,0,0,34,1206
聖蹟桜ケ丘,264,66,284,626,730,1742,5916,3382,1917,3381,3591,1262,685,453,510,282,647,425,74,0,0,174,0,0,0,0,1242
百草園,265,138,28,268,320,589,359,1128,450,171,1478,592,72,148,184,73,35,0,0,0,0,0,0,56,0,0,216
高幡不動,266,50,82,635,1126,2016,3136,5098,4625,4858,2805,1345,2022,1439,1230,1804,764,452,62,474,3528,1128,846,362,26,398,1516
南平,267,18,128,90,147,539,530,602,1650,446,215,58,288,192,0,0,0,0,0,0,76,76,0,0,0,0,384
平山城址公園,268,66,171,412,394,248,440,234,186,136,386,147,36,557,40,144,42,258,54,0,0,0,0,0,0,0,512
長沼,269,38,252,32,76,110,524,102,124,226,52,0,86,0,280,262,0,0,0,0,21,0,0,0,0,0,0
北野,270,44,166,993,2103,1814,4175,6798,4204,4226,5800,6095,4316,495,1117,514,768,719,1271,62,882,32,204,176,0,0,569
京王八王子,271,120,108,141,3015,1928,2708,650,1936,2226,864,1019,1949,312,0,658,574,0,31,31,0,0,0,0,0,108,478
初台,272,100,0,100,115,141,724,1263,3430,1263,1028,747,885,160,245,637,304,614,203,355,0,0,0,0,0,94,100
幡ケ谷,273,98,0,0,272,288,1214,857,2502,1031,645,1061,919,634,652,94,0,0,0,462,0,274,0,1462,0,0,122
京王多摩川,274,0,76,144,86,192,738,1549,1201,1208,986,357,42,158,187,47,0,34,166,141,0,0,0,0,0,0,188
京王よみうりランド,275,0,76,122,114,312,163,531,1246,457,36,382,488,4,300,116,0,326,52,0,42,0,0,0,0,0,248
稲城,276,0,0,206,348,1030,1275,3430,1631,486,916,1265,33,212,84,28,0,0,0,0,0,0,0,0,0,262,136
京王永山,277,116,130,368,724,2299,2095,1039,1697,4830,3036,1268,1139,767,410,308,82,108,40,0,312,300,0,0,19,0,868
京王多摩センター,278,124,74,280,1476,1600,2342,1879,4050,2208,2337,1106,2075,537,446,447,108,290,32,106,764,16,32,46,54,298,492
京王堀之内,279,210,176,400,1019,1822,1131,1315,1973,1981,542,1082,312,353,214,0,0,256,70,0,0,0,32,174,0,0,216
南大沢,280,371,376,504,1438,2266,2669,2701,2859,1667,2707,1414,1667,361,284,1276,106,108,338,126,26,18,32,0,0,140,648
多摩境,281,172,0,286,617,501,649,696,666,410,656,524,216,0,480,134,46,251,251,0,0,0,0,0,0,0,212
府中競馬正門前,282,0,0,0,82,0,56,84,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
