name,st_id,bef0600,af0600,af0605,af0610,af0615,af0620,af0625,af0630,af0635,af0640,af0645,af0650,af0655,af0700,af0705,af0710,af0715,af0720,af0725,af0730,af0735,af0740,af0745,af0750,af0755,af0800,af0805,af0810,af0815,af0820,af0825,af0830,af0835,af0840,af0845,af0850,af0855,af0900,af0905,af0910,af0915,af0920,af0925,af0930,af0935,af0940,af0945,af0950,af0955,af1000,af1005,af1010,af1015,af1020,af1025,af1030,af1035,af1040,af1045,af1050,af1055,af1100,af1105,af1110,af1115,af1120,af1125,af1130,af1135,af1140,af1145,af1150,af1155,af1200
下赤塚,166,0,0,14,0,0,3,0,0,0,0,0,18,0,0,14,13,30,30,65,33,100,39,55,39,14,0,5,29,18,42,95,87,17,49,4,0,0,0,12,56,0,0,0,0,0,0,33,33,0,0,0,0,12,0,0,26,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
成増,167,1,1,1,3,6,4,3,5,3,15,11,39,41,33,42,49,47,90,100,38,95,62,76,54,80,28,51,77,9,35,24,51,46,35,6,25,25,10,15,31,22,15,5,4,16,1,0,27,1,0,0,1,3,12,1,1,1,1,0,0,0,0,1,1,3,0,6,0,0,10,10,12,23,99
椎名町,168,6,0,0,0,0,0,10,10,0,0,3,7,0,6,6,19,4,35,47,15,4,25,60,21,38,100,85,19,18,12,3,18,40,11,15,4,7,7,1,4,6,2,2,3,5,1,0,0,0,0,0,0,0,0,6,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9
東長崎,169,1,0,0,0,0,0,2,0,2,2,8,19,30,33,58,62,24,42,38,25,59,100,81,43,45,52,55,73,20,48,33,27,35,28,4,7,35,18,17,9,2,2,0,0,0,0,3,3,4,10,0,3,6,8,24,15,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,15
江古田,170,10,0,0,1,0,0,1,2,1,0,2,0,11,11,35,9,18,14,13,13,31,15,100,44,37,24,42,50,17,8,20,67,15,36,8,17,0,23,16,32,14,11,0,0,8,8,0,0,1,1,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,12
桜台,171,2,0,0,0,17,17,0,0,0,0,5,6,5,15,2,9,2,10,15,51,100,15,21,22,49,51,16,5,32,32,17,23,18,4,4,5,7,5,11,12,4,2,0,5,1,3,15,0,0,0,2,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,4
練馬,172,3,0,0,3,0,9,11,6,4,7,13,16,25,20,8,28,53,39,30,73,82,53,64,39,100,84,66,55,43,57,55,31,20,58,31,20,14,28,8,7,15,15,14,14,6,6,1,8,37,7,14,10,4,3,0,3,2,0,4,0,1,2,5,0,1,1,1,1,0,0,0,1,1,24
中村橋,173,0,0,0,4,5,1,2,9,10,0,9,4,13,22,13,53,15,12,28,48,69,48,85,100,35,20,48,38,51,33,14,27,8,13,15,5,17,16,12,6,1,14,0,0,23,24,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
富士見台,174,1,0,0,0,4,0,0,0,54,21,27,32,26,8,55,74,26,20,42,47,25,17,37,19,82,23,5,12,12,4,1,26,27,10,2,9,3,0,7,9,8,4,0,0,9,8,1,100,2,2,0,1,1,0,8,0,0,4,0,0,0,2,2,0,6,0,0,0,0,8,0,0,0,2
練馬高野台,175,0,0,0,2,2,0,0,8,9,4,0,5,11,9,13,28,39,25,29,31,17,34,54,40,37,39,32,66,100,49,13,5,8,22,15,6,22,17,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石神井公園,176,6,0,0,0,2,2,7,2,5,7,5,28,16,5,31,2,45,35,100,60,61,40,50,63,23,35,29,26,29,33,24,34,12,13,22,6,8,24,1,7,8,5,4,9,5,6,1,0,4,4,1,0,1,1,1,1,0,5,4,0,0,0,6,1,0,0,0,0,0,0,2,2,2,36
