name,st_id,bef0600,af0600,af0615,af0630,af0645,af0700,af0715,af0730,af0745,af0800,af0815,af0830,af0845,af0900,af0915,af0930,af0945,af1000,af1015,af1030,af1045,af1100,af1115,af1130,af1145,af1200
秋葉原,75,566,105,789,987,1479,3963,6619,10937,10781,20351,17894,18728,11906,12070,8730,3541,2546,1827,1705,909,1544,535,1631,666,142,3921
西立川,76,0,0,82,0,13,930,215,333,0,37,101,119,77,0,0,0,0,0,0,0,0,0,0,28,28,0
東中神,77,0,0,90,119,139,178,283,677,70,328,140,64,0,283,0,0,0,0,0,605,0,0,0,0,0,333
中神,78,0,208,119,80,684,349,651,1504,314,363,416,45,56,193,0,0,0,0,0,0,0,0,0,0,0,37
昭島,79,0,273,282,673,665,584,756,1010,1384,934,493,94,88,634,474,18,18,39,0,0,0,0,0,16,0,76
牛浜,80,0,42,215,386,48,57,20,152,406,147,281,243,305,0,0,349,0,0,0,0,0,0,0,0,0,0
福生,81,0,288,41,209,172,627,1972,328,607,526,198,0,0,73,3013,0,0,298,0,0,0,0,0,0,0,0
羽村,82,0,109,150,570,258,610,662,123,711,310,0,1342,137,0,0,0,485,0,0,133,0,0,0,0,0,710
小作,83,48,50,286,402,197,996,185,564,761,238,0,89,0,91,0,0,255,0,0,0,0,0,0,0,0,326
河辺,84,32,0,452,338,518,2098,140,417,729,175,77,100,0,0,0,174,0,0,0,0,0,0,0,0,0,152
東青梅,85,69,0,180,227,1338,267,1043,270,102,100,65,0,0,0,0,0,0,0,0,274,0,0,100,0,0,742
青梅,86,84,0,0,594,209,152,766,0,196,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
宮ノ平,87,8,0,0,0,0,0,0,153,16,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0
日向和田,88,0,0,0,126,22,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石神前,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
二俣尾,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
軍畑,91,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沢井,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
御嶽,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
川井,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
古里,95,0,0,0,5,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳩ノ巣,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
白丸,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
奥多摩,98,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
熊川,99,0,0,0,0,0,78,0,78,75,196,64,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0
東秋留,100,78,0,130,0,102,817,246,126,391,0,180,56,316,0,0,0,0,0,0,0,0,0,0,0,0,43
秋川,101,0,0,47,0,167,105,274,569,231,0,0,0,0,149,0,0,118,0,0,0,0,0,0,0,0,67
武蔵引田,102,0,0,107,126,32,72,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
武蔵増戸,103,43,0,937,364,4491,0,241,240,0,114,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0
武蔵五日市,104,0,0,116,219,0,83,83,138,0,0,127,0,0,102,0,0,0,0,0,0,0,0,0,0,0,199
品川,105,380,339,203,275,1412,2963,4671,7109,9212,20462,16611,15000,12532,8739,4704,4942,1912,1291,1039,900,946,291,274,130,284,3404
田町,106,33,0,22,0,0,417,326,407,955,1288,325,300,705,289,195,35,0,0,0,0,57,0,0,0,0,280
浜松町,107,122,55,520,454,765,1561,1230,1477,2725,3693,2395,2369,2463,855,1451,1202,304,182,196,160,10,987,46,373,47,677
新橋,108,151,48,110,789,190,531,1986,2559,3128,6879,7256,9409,6955,5168,3276,1739,1482,1091,148,708,478,20,23,83,122,761
有楽町,109,257,0,152,189,52,1184,2217,2718,4486,6606,6735,5629,4199,2924,1870,1301,742,339,484,330,163,86,251,59,46,578
御徒町,110,15,58,0,0,90,259,165,354,683,579,526,396,580,245,44,86,12,26,0,15,0,0,92,31,0,101
鶯谷,111,129,56,0,164,0,264,170,378,463,797,348,532,255,20,0,307,48,164,30,50,0,0,0,0,0,0
西日暮里,112,133,66,296,519,400,2231,1393,2349,1849,7674,5448,4213,2784,1077,1344,1130,628,133,390,623,0,713,0,0,265,402
田端,113,210,0,69,127,149,1075,1260,4381,1778,3818,2481,3148,2363,1431,1004,522,77,39,217,0,32,45,0,12,0,1784
駒込,114,119,0,0,66,373,511,652,987,1019,2097,1149,2151,1551,405,832,521,57,234,0,66,0,0,312,31,0,892
巣鴨,115,22,46,94,163,528,2042,1993,2392,2681,3702,2829,3465,2014,705,813,758,384,561,424,125,1284,361,65,186,0,1722
大塚,116,92,76,28,244,165,267,604,309,1014,1991,1956,1252,1157,182,60,313,298,64,99,0,0,327,98,150,0,135
目白,117,22,28,16,44,223,263,433,771,1984,740,1036,425,512,397,672,157,41,477,49,86,0,23,0,0,0,355
高田馬場,118,344,136,264,401,2274,2983,3971,3961,6936,10922,9302,6366,5381,3795,3142,1631,938,1164,1197,1261,449,116,206,735,583,2979
新大久保,119,46,0,0,0,67,227,140,284,1333,356,700,277,79,99,0,40,0,111,28,0,0,0,0,0,0,0
原宿,120,0,0,0,0,0,0,41,414,139,695,236,106,280,100,20,109,0,0,0,0,0,0,0,0,0,290
目黒,121,309,236,110,464,604,1018,1946,3212,3573,7683,6608,5819,3541,2660,3806,1949,1329,649,1196,198,462,229,99,331,44,1242
五反田,122,35,78,36,76,179,525,1049,1204,7954,3185,4092,3960,2243,1302,1699,400,625,330,81,64,55,220,124,36,0,2403
東十条,123,91,0,62,303,94,797,535,1331,1014,491,1440,229,545,270,132,355,0,0,32,296,0,0,0,0,0,68
王子,124,50,67,74,203,1008,696,3077,2806,3398,4009,2412,3106,2516,1454,195,454,197,151,65,44,92,0,0,344,0,1183
上中里,125,0,0,32,0,0,142,561,279,170,239,105,157,0,43,34,0,0,0,0,0,0,0,0,0,0,0
大井町,126,184,59,115,481,1154,1848,2321,6663,5224,5861,4498,4459,3878,2567,1552,969,691,416,509,331,19,146,0,354,108,1716
大森,127,316,95,199,523,713,1219,2058,2716,3074,3242,3830,1540,1959,711,890,708,258,339,76,80,0,0,279,0,0,563
蒲田,128,258,104,123,552,1345,1186,3740,6112,7774,7374,4887,6597,2344,2022,996,1256,954,305,56,382,162,209,176,156,132,1676
矢野口,129,0,0,30,0,189,612,268,382,302,431,0,134,71,0,0,0,0,126,0,0,0,0,0,0,52,113
稲城長沼,130,0,79,87,0,401,245,991,621,299,705,220,35,195,0,333,0,0,45,0,0,0,0,0,0,0,231
南多摩,131,0,0,98,63,28,98,410,230,39,138,0,0,0,0,44,32,0,0,0,0,0,0,0,0,0,96
分倍河原,132,166,57,120,179,236,772,1011,3190,2551,3980,1950,1461,1264,1453,387,462,143,186,468,0,26,321,0,100,0,177
