name,st_id,passengers,bef0600,af0600,af0605,af0610,af0615,af0620,af0625,af0630,af0635,af0640,af0645,af0650,af0655,af0700,af0705,af0710,af0715,af0720,af0725,af0730,af0735,af0740,af0745,af0750,af0755,af0800,af0805,af0810,af0815,af0820,af0825,af0830,af0835,af0840,af0845,af0850,af0855,af0900,af0905,af0910,af0915,af0920,af0925,af0930,af0935,af0940,af0945,af0950,af0955,af1000,af1005,af1010,af1015,af1020,af1025,af1030,af1035,af1040,af1045,af1050,af1055,af1100,af1105,af1110,af1115,af1120,af1125,af1130,af1135,af1140,af1145,af1150,af1155,af1200
都立大学,327,874,13,0,12,0,0,0,0,5,10,10,3,27,37,11,41,54,35,70,25,5,60,52,83,74,100,49,69,61,36,77,84,55,35,33,9,33,22,31,40,38,16,6,4,0,3,3,6,5,39,8,11,21,11,0,8,8,5,0,0,0,5,5,0,7,7,0,0,0,0,0,0,0,6,55
自由が丘,328,3664,8,3,0,6,1,1,3,8,8,11,35,24,43,31,27,36,50,57,65,57,65,54,60,100,72,82,73,61,75,55,71,35,42,50,29,27,31,34,23,11,21,17,13,4,9,4,8,6,9,4,6,5,9,15,1,10,3,3,7,6,3,0,0,3,0,1,10,0,4,1,0,0,0,90
田園調布,329,651,3,0,0,1,0,3,3,4,9,9,11,3,21,11,17,28,45,39,55,67,78,88,100,76,82,93,88,82,70,46,61,55,35,31,21,27,21,23,9,10,5,9,9,9,5,9,18,0,0,0,1,0,0,1,1,5,5,0,0,0,3,3,0,0,1,3,0,0,0,1,0,1,1,49
多摩川,330,3590,3,3,3,3,4,1,2,4,3,4,12,5,12,18,25,37,59,46,28,72,67,79,61,51,65,100,78,50,32,30,40,56,23,18,56,51,23,7,7,8,5,4,17,26,18,3,8,5,2,6,7,1,0,17,16,0,0,1,1,2,2,3,2,0,1,1,0,0,0,0,0,0,0,11
不動前,331,552,3,0,0,1,0,3,3,4,9,9,11,3,21,11,17,28,46,38,55,67,78,89,100,76,82,93,89,83,71,46,61,55,35,32,21,26,21,23,9,10,5,9,9,9,5,9,18,0,0,0,1,0,0,1,1,5,5,0,0,0,3,3,0,0,1,3,0,0,0,1,0,1,1,50
武蔵小山,332,1141,15,3,0,0,0,2,2,3,5,3,8,10,2,10,13,32,17,100,45,19,16,16,15,23,25,76,71,48,29,28,22,78,88,28,22,25,8,8,22,33,17,20,9,2,4,4,19,19,0,0,0,0,0,0,0,9,13,13,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,23
西小山,333,736,0,0,0,4,0,5,22,25,16,30,27,32,86,23,13,24,59,24,38,38,21,14,25,100,99,45,75,69,70,46,45,30,16,15,25,27,36,77,25,3,0,0,21,37,16,0,0,8,8,11,11,0,6,0,0,0,7,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5
洗足,334,225,5,0,1,2,7,2,9,13,17,14,31,21,32,40,48,41,68,59,74,76,100,76,84,84,81,64,78,63,54,47,61,56,44,32,25,27,31,15,15,31,38,20,20,14,7,12,0,8,0,8,1,4,8,4,4,8,4,0,2,1,1,4,0,2,0,8,0,0,4,4,0,0,0,65
大岡山,335,1659,2,0,0,2,3,3,3,1,1,9,12,5,18,20,27,14,15,15,40,26,42,41,41,73,50,52,65,71,100,74,60,50,25,58,62,75,28,14,20,21,11,18,17,4,5,6,1,0,9,9,7,7,1,3,4,1,0,11,24,7,0,0,0,0,6,6,14,14,0,0,0,0,0,18
奥沢,336,213,5,0,1,2,7,2,9,13,17,14,30,22,32,39,48,41,68,58,73,75,100,76,84,84,80,63,77,62,53,46,61,56,45,31,25,26,30,15,15,30,38,19,19,14,7,12,0,8,0,7,1,4,7,4,3,7,4,0,2,1,1,3,0,2,0,7,0,0,4,4,0,0,0,65
池尻大橋,337,1501,11,0,0,0,0,1,1,1,7,4,2,9,8,23,1,5,24,13,34,40,17,17,31,7,9,22,48,38,29,100,12,12,26,29,26,6,0,11,9,30,3,1,9,12,10,1,14,1,2,4,4,3,3,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,20
三軒茶屋,338,2104,11,0,0,1,0,3,5,3,5,12,11,5,35,15,16,29,47,54,67,37,46,47,39,67,59,52,61,100,73,52,56,57,34,34,40,29,41,37,25,27,19,9,13,27,28,12,8,3,3,6,16,12,0,3,3,10,0,0,0,0,0,1,0,1,2,3,0,0,1,0,0,0,1,42
